,Question,Answer,A,B,C,,Explaniation if needed,Category,Sub Category,File Name pulled from,,
2,What is the purpose of Crew Resource Management (CRM) in aeronautical decision-making?,B,To ensure that all team members have the necessary technical skills.,To develop training for flight crews that focuses on using all available resources effectively.,To minimize the costs associated with flight operations.,,,Operations,Crew Resource Mangement,My new questions May9,,
2,What is the first step in dealing with hazardous attitudes?,B,Ignoring the attitude and hoping it goes away.,Recognizing when you're having a hazardous thought.,Acting on the attitude without thinking.,,,Operations,ADM,My new questions May9,,
2,What does ADM provide to pilots as they handle different situations?,B,A fixed set of rules that must be followed without deviation.,A continuous process that gives pilots feedback.,A way to avoid all risks associated with flying.,,,Operations,ADM,My new questions May9,,
1,"What does the acronym 'PAVE' stand for, and how does it relate to risk management?",B,"Pilot, Aircraft, Velocity, Environment.","Pilot-in-Command, Aircraft, Environment, External Pressures.","Planning, Assessment, Verification, Execution.",,,Operations,Pave,My new questions May9,,
1,Which two components are the primary considerations for aircraft balance?,B,Lift and drag.,Center of gravity and center of pressure.,Propeller thrust and battery voltage.,,,Loading & Performance,loading and performance,My new questions May9,,
2,What is the primary function of a UNICOM station at a non-towered airport?,B,To provide air traffic control services to aircraft.,To offer weather forecasts and airport information to pilots.,To coordinate emergency responses.,,,Operations,Radio Communications,My new questions May9,,
2,What is the primary purpose of the Common Traffic Advisory Frequency (CTAF) in aviation?,C,To provide air traffic control services to aircraft.,To coordinate emergency responses.,To facilitate communication and coordination between aircraft and ground personnel at non-towered airports.,,,Operations,Radio Communications,My new questions May9,,
2,What is the primary function of a MULTICOM frequency in aviation?,C,To provide air traffic control services to aircraft.,To coordinate emergency responses.,To facilitate communication and coordination between aircraft and ground personnel at non-towered airports without a UNICOM frequency.,,,Operations,Radio Communications,My new questions May9,,
1,What is the recommended action for an unmanned aircraft operator flying near a non-towered airport that does not have a UNICOM frequency?,B,Contact the nearest towered airport for clearance.,Use the MULTICOM frequency for communication and coordination.,Avoid flying near the airport altogether.,,,Operations,Radio Communications,My new questions May9,,
1,What is the primary reason why unmanned aircraft operators should be familiar with airport traffic patterns when monitoring radio traffic?,B,To avoid flying in restricted airspace.,To understand the flow of aircraft around the airport and anticipate potential conflicts.,To determine the best time to land or take off.,,,Operations,Radio Communications,My new questions May9,,
,,,,,,,,,,,,
2,What are the two types of clouds that pose hazards to unmanned aircraft operators?,A,Cumulonimbus and lenticular altocumulus,Stratus and cirrus,Cumulus and nimbus,Altostratus and cumulus,,Weather,Effects on Performance clouds,Weather Part 2 MC - Key,Weather and Weather Sources,General weather concepts
2,What is the main difference between a surface-based temperature inversion and a frontal inversion?,C,"A surface-based inversion occurs during the day, while a frontal inversion occurs at night.","A surface-based inversion is caused by warm air spreading over cold air, while a frontal inversion is caused by cold air spreading over warm air.","A surface-based inversion is caused by the cooling of the ground at night, while a frontal inversion is caused by the interaction of different air masses.",There is no significant difference between the two types of inversions.,,Weather,Temp inversions,Weather Part 2 MC - Key,Operations,General operations
1,How does icing affect an unmanned aircraft's ability to fly?,C,"Icing increases the aircraft's lift and reduces drag, making it easier to fly.",Icing has no impact on an unmanned aircraft's ability to fly.,"Icing adds weight, reduces lift, and increases drag, making it harder to fly.",Icing only affects the aircraft's appearance and does not affect its performance.,,Weather,icing,Weather Part 2 MC - Key,Weather and Weather Sources,Cloud types and hazards
2,What is the recommended action for an unmanned aircraft operator if they see stratified clouds during a preflight visual assessment?,B,"Suspend operations immediately, as stratified clouds indicate unstable air.","Continue flying as usual, as stratified clouds indicate stable air.",Increase altitude to avoid the stratified clouds.,Fly through the stratified clouds quickly to minimize exposure.,,Weather,clouds,Weather Part 2 MC - Key,Operations,General operations
1,What is the minimum visibility requirement for unmanned flight operations from the ground control station?,C,1 statute mile,2 statute miles,3 statute miles,5 statute miles,,Weather,visiabilty,Weather Part 2 MC - Key,Operations,General operations
2,What is the main difference between a cumulus stage and a mature stage of a thunderstorm?,B,"The cumulus stage is characterized by heavy rain, while the mature stage is characterized by clear skies.","The cumulus stage is characterized by strong updrafts, while the mature stage is characterized by strong downdrafts.","The cumulus stage is the most dangerous stage for unmanned aircraft operations, while the mature stage is the least dangerous.",There is no significant difference between the two stages.,,Weather,thunderstorm stages,Weather Part 2 MC - Key,Weather and Weather Sources,Cloud types and hazards
1,What is the main difference between a cumulus cloud and a cumulonimbus cloud?,A,"Cumulus clouds are small and fluffy, while cumulonimbus clouds are large and dark.","Cumulus clouds are associated with thunderstorms, while cumulonimbus clouds are associated with calm weather.","Cumulus clouds are formed by cold air sinking, while cumulonimbus clouds are formed by warm air rising.",There is no significant difference between the two types of clouds.,,Weather,clouds,Weather Part 2 MC - Key,Operations,General operations
,,,,,,,,,,,,
1,"While operating around buildings, the Remote Pilot in Command should be aware of the creation of wind gusts that",C,enhance stability and imagery.,increase performance of the aircraft.,change rapidly in direction and speed causing turbulence.,,,Weather,wind,Remaining Weather questions for James,Aircraft Loading and Performance,"Weight, balance, and performance"
,,,,,,,,,,,,
1,"Refer to FAA-CT-8080-2H, Figure 80, Montrose Regional starts at what altitude?",A,The surface,700 ft AGL,700 ft MSL,,,Airports & Airspace,Class E,Additional extra extra maps,,
1,"Refer to FAA-CT-8080-2H, figure 80, Outside dashed magenta lines near Roubideau (Pvt) airport what airspace is from surface up to 700 ft AGL?",B,Class E,Class G,Class D,,,Airports & Airspace,Class E,Additional extra extra maps,,
1,"(Refer to FAA-CT-8080-2H, Figure 69 ,South of Area 5 & North East of Areaa 3) Do you need authorization in the area within the dashed magenta lines that are intersecting Class C ?",A,No ATC authorization required (Class E3),Yes ATC authorization required in E3,Yes it is Class C,,,Airports & Airspace,Class C,Additional extra extra maps,,
2,"(Refer to FAA-CT-8080-2H, Figure 69, South of Area 1) Do you need authorization inside dashed magenta lines that are intersecting the blue dashed lines by Corpus Christi?",C,Yes it is Class E,Yes it is Class D,No ATC authorization needed class E,,,Airports & Airspace,Class E,Additional extra extra maps,,
2,"(Refer to FAA-CT-8080-2H, Figure 69, South of Area 1) Do you need authorization inside blue dashed lines at Corpus Christi?",B,Yes it is Class E,Yes it is Class D,No ATC authorization needed (Class E4),,,Airports & Airspace,Class D,Additional extra extra maps,,
2,"(Refer to FAA-CT-8080-2H, Figure 23 South of Area 4) What is the lower altitude limit of Class E at Statesboro Bulloch County Airport?",A,887 ft MSL,700 ft MSL,1200 ft MSL,,,Airports & Airspace,Class E,Additional extra extra maps,,
2,What methodology prevents final link in accident chain?,C,Crew Resource Management,Safety Management System,Risk Management,,,Operations,Risk Management,Additional extra extra maps,,
,,,,,,,,,,,,
1,Which operation is NOT subject to Part 107?,B,Civil sUAS flights for compensation,Recreational flights conducted under 49 USC 44809,Commercial photography flights,,,Regulations,Applicability,,Operations,General operations
1,Nonrecreational drones must be registered under which regulation?,C,Part 91,Part 107 only,Part 47 or Part 48,,,Regulations,Aircraft Registration,,Operations,General operations
2,Anticollision lights used for night operations must be visible for at least:,B,1 statute mile,3 statute miles,5 statute miles,,,Regulations,Night Operations,,Operations,General operations
,,,,,,,,,,,,
,REGULATIONS END OF EACH SECTION Questions,,,,,,,,,,,
,Part 107 primarily governs which type of sUAS operations?,B,Recreational flights only,Nonrecreational and commercial sUAS operations,Military drone operations,,,Regulations,Applicability,,Operations,General operations
,Which operation originally required a waiver under early Part 107 rules?,B,Daytime flight in Class G airspace,Night operations and flight over people,Operations under 400 feet AGL,,,Regulations,Remote ID ,,Operations,General operations
,What credential is required to fly under Part 107 without special exemptions?,B,Airworthiness certificate,Remote Pilot Certificate,Private pilot license,,,Regulations,Applicability,,Operations,General operations
,Which operation is NOT subject to Part 107?,B,Civil sUAS flights for compensation,Recreational flights conducted under 49 USC 44809,Commercial photography flights,,,Regulations,Applicability,,Operations,General operations
,Which role has final authority and responsibility for a Part 107 operation?,C,Visual Observer,Person manipulating the controls,Remote Pilot in Command,,,Regulations,RPIC,,Regulations,Part 107 regulations and compliance
,"Under Part 107, who is ultimately responsible for the safety of the flight?",C,The VO,The aircraft manufacturer,The RPIC,,,Regulations,RPIC,,Operations,General operations
,Which action is required before each flight under Part 107?,B,Submitting a flight plan to ATC,Conducting a preflight inspection,Obtaining a waiver,,,Regulations,RPIC,,Operations,General operations
,The person manipulating the flight controls must be:,B,The RPIC at all times,Under direct supervision if not certified,A certificated flight instructor,,,Regulations,Person Manipulating Controls,,Operations,General operations
,Which statement about Visual Observers is correct?,C,VOs are mandatory for all flights,VOs must hold a Remote Pilot Certificate,VOs are optional but recommended depending on mission complexity,,,Regulations,Visual Observer,,Regulations,Part 107 regulations and compliance
,Which factor must the RPIC assess before flight?,B,Pilot salary,"Weather, airspace, and crew readiness",FAA processing time,,,Regulations,PreFlight Familiarization & Airport Operations,,Regulations,Part 107 regulations and compliance
,"If a sUAS goes out of VLOS for more than 15 seconds, the RPIC should:",B,Continue the mission,Initiate a failsafe return-to-home,Contact ATC,,,Regulations,Flight Crew Management & Communication,,Operations,General operations
,Nonrecreational drones must be registered under which regulation?,C,Part 91,Part 107 only,Part 47 or Part 48,,,Regulations,Applicability,,Operations,General operations
,"Upon request, the RPIC must present which document?",B,Aircraft maintenance manual,Remote Pilot Certificate and photo ID,Manufacturer warranty,,,Regulations,Registration Inspection & Falsification,,Operations,General operations
,When must a sUAS accident be reported to the FAA?,C,Any damage occurs,Injury requiring first aid,Serious injury or property damage over $500,,,Regulations,Accident Reporting & Hazardous ,,Operations,General operations
,"During an inflight emergency, the RPIC may:",B,Ignore FAA rules permanently,Deviate from regulations to address the emergency,Transfer authority to ATC,,,Regulations,Accident Reporting & Hazardous ,,Regulations,Part 107 regulations and compliance
,Which action is considered reckless under Part 107?,B,Flying in rural Class G airspace,Dropping an object without hazard mitigation,Flying below 100 feet AGL,,,Regulations,Accident Reporting & Hazardous ,,Operations,General operations
,A medical certificate is required to fly under Part 107:,C,Always,Only for night operations,"Not required, but self-assessment is necessary",,,Regulations,Medical Condition,,Operations,General operations
,You may operate a sUAS from a moving land vehicle when:,B,Flying over a city,In sparsely populated areas and not carrying property for hire,Flying from an aircraft,,,Regulations,Operation drom Moving Vehicles & Transportation of Property,,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
,What blood alcohol concentration (BAC) level disqualifies participation in a sUAS operation?,B,0.02%,0.04%,0.08%,,,Regulations,Medical Conditions Drugs and Alcohol,,Regulations,Part 107 regulations and compliance
,Anticollision lights used for night operations must be visible for at least:,B,1 statute mile,3 statute miles,5 statute miles,,,Regulations,Night Eligibility Civil Twilight & Lighting,,Operations,General operations
,Visual Line of Sight requires the UA to be seen:,B,With binoculars,Unaided except corrective lenses,Only on the controller display,,,Regulations,Night Flight Hazards & Mitigation,,Regulations,Part 107 regulations and compliance
,How many sUAS may a person operate at one time under Part 107?,A,One,Two,Three,,,Regulations,VLOS & Multiple Aircraft,,Regulations,Part 107 regulations and compliance
,You may fly over a person who is:,A,Under a covered structure,Standing outdoors,Walking on a sidewalk,,,Regulations,Operations Over People General ,,Regulations,Part 107 regulations and compliance
,"During autonomous flight, who is responsible for the operation?",C,The manufacturer,The flight software,The RPIC,,,Regulations,Autonomous Flight,,Regulations,Part 107 regulations and compliance
,"Operations in Class B, C, D, or surface Class E airspace require:",B,A waiver,Prior authorization,ATC radio contact,,,Regulations,PreFlight Familiarization & Airport Operations,,Operations,General operations
,What is the maximum allowable altitude under Part 107?,B,400 feet MSL,400 feet AGL,500 feet AGL,,,Regulations,Operating Limitations,,Operations,General operations
,Minimum flight visibility required is:,B,1 statute mile,3 statute miles,5 statute miles,,,Regulations,Operating Limitations,,Operations,General operations
,A Part 107 waiver allows an operator to:,B,Ignore FAA rules,Deviate from specific rules if safety is demonstrated,Operate internationally,,,Regulations,Waivers,,Regulations,Part 107 regulations and compliance
,Waiver applications should be submitted at least how many days in advance?,C,30 days,45 days,90 days,,,Regulations,Slide 83 – Waiver Timing,,Regulations,Part 107 regulations and compliance
,The purpose of Remote ID is to:,B,Enable autonomous flight,Identify drones operating in the NAS,Replace registration,,,Regulations, Remote ID,,Operations,General operations
,Which is NOT a Remote ID compliance method?,C,Standard Remote ID,Broadcast Module,ADSB Out,,,Regulations,FRIA & Alternatives,,Operations,General operations
,FAA-Recognized Identification Areas (FRIAs) allow operations:,B,Without registration,Without Remote ID,Without VLOS,,,Regulations,FRIA & Alternatives,,Operations,General operations
,Category 1 operations over people require the UA to:,B,Weigh under 55 lb,Weigh 0.55 lb or less and have no exposed rotating parts,Have an airworthiness certificate,,,Regulations,Category 1 & 2,,Operations,Airport operations and traffic patterns
,Which category requires an Airworthiness Certificate under Part 21?,C,Category 1,Category 2,Category 4,,,Regulations,Category 3 & 4,,Operations,General operations
,Night operations without a waiver require:,B,ATC coordination,Updated training and anticollision lighting,A VO,,,Regulations,Night Eligibility Civil Twilight & Lighting,,Operations,Aeronautical decision-making and risk management
,,,,,,,,,,,,
,Regulations END OF UNIT QUIZ/TEST,,,,,,,,,,,
,How far in advance should waiver applications be submitted?,A,90 days,30 days,60 days,,,Regulations,Waivers,Regulations test - key 27 questions,Operations,General operations
,"Under Part 107, which of the following is permitted when transporting property for compensation or hire?",C,Flying across state lines,Flying over open-air assemblies,Conducting operations wholly within a single state,,,Regulations,"Operational Rules, Transportation of property",Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
,"Under Part 107, who holds final authority over the operation of the sUAS?",C,Visual Observer,Person manipulating the flight controls,Remote Pilot in Command,,,Regulations,Roles,Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
,What is the maximum allowable altitude for sUAS flight under Part 107?,B,400 feet MSL,400 feet AGL,500 feet AGL,,,Regulations,Operational Rules,Regulations test - key 27 questions,Operations,General operations
,What is the maximum allowable groundspeed for sUAS?,A,87 knots,100 knots,,87 mph,,Regulations,Operational Rules,Regulations test - key 27 questions,Operations,General operations
,What is the minimum distance a drone must maintain from clouds?,B,100 feet below,500 feet below and 2000 feet horizontally,1000 feet above,,,Regulations,Operational Rules,Regulations test - key 27 questions,Operations,General operations
,What is the minimum visibility required from the control station?,B,1 statute mile,3 statute miles,5 statute miles,,,Weather,Operating Rules,Regulations test - key 27 questions,Weather and Weather Sources,Cloud types and hazards
,What is the purpose of Remote ID?,C,To enable autonomous flight,To allow drone delivery,To identify UA in the NAS,,,Regulations,Remote ID,Regulations test - key 27 questions,Operations,General operations
,What must a Remote ID UA do before takeoff?,B,Upload flight plan,Pass a self-test,Connect to ATC,,,Regulations,Remote ID,Regulations test - key 27 questions,Weather and Weather Sources,General weather concepts
,What must be done before each flight?,B,Submit a flight plan to FAA,Conduct a preflight inspection,Register the drone again,,,Operations ,Preflight Inspection,Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
,What must be made available upon request by law enforcement during an sUAS operation?,B,Flight logs only,Remote Pilot Certificate and identification,FAA waiver documentation only,,,Regulations,Operations,Regulations test - key 27 questions,Operations,General operations
,What must be reported to the FAA within 10 calendar days?,C,Any flight,Weather delays,Serious injury or property damage over $500,,,Regulations,"Operational Rules, Accident",Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
,Which category of UA may operate over people without a waiver if it weighs less than 0.55 lbs and has no exposed rotating parts?,A,Category 1,Category 2,Category 3,,,Regulations,Flying over people and moving objects,Regulations test - key 27 questions,Operations,General operations
,Which category requires an airworthiness certificate under Part 21?,D,Category 1,Category 2,Category 3,Category 4,,Regulations,Flying over people and moving objects,Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
,Which of the following is a recommended mitigation strategy for night illusions during sUAS operations?,C,Flying above 400 feet AGL,Looking directly at bright lights,Scanning off-center by 5–10 degrees,,,Operations ,Physiology,Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
,Which of the following is a required action for the RPIC before flight?,B,Submit a flight plan to ATC,Conduct a preflight inspection of aircraft and control station systems,Obtain a waiver for VLOS operations,,,Regulations,Operational Rules,Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
,Which of the following is a requirement for Category 2 UA operations over people?,C,UA must weigh less than 0.55 lbs,UA must have exposed rotating parts,UA must not exceed 11 foot-pounds of kinetic energy upon impact,,,Regulations,Flying over people and moving objects,Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
,Which of the following is prohibited during sUAS operations under Part 107?,B,Operating from a moving land vehicle in a sparsely populated area,Operating from a moving aircraft,Operating from a stationary watercraft,,,Regulations,"Operational Rules, Transportation of property",Regulations test - key 27 questions,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
,Which of the following is prohibited without prior authorization?,B,Flying in Class G airspace,Flying in Class B airspace,Flying over private property,,,Regulations,Operational Rules,Regulations test - key 27 questions,Operations,General operations
,Which of the following is true about FAA-Recognized Identification Areas (FRIAs)?,B,Only commercial operators may apply,They allow flight without Remote ID,They are valid for 12 months,,,Regulations,Remote ID,Regulations test - key 27 questions,Weather and Weather Sources,General weather concepts
,Which of the following is true for Category 3 UA operations over people?,C,UA may maintain sustained flight over open-air assemblies,UA must be operated only in uncontrolled airspace,UA may operate over people only in restricted-access sites with notice,,,Regulations,Flying over people and moving objects,Regulations test - key 27 questions,Operations,General operations
,Which of the following operations can be waived?,A,Flying over people,Flying from a moving aircraft,Flying without Remote ID,,,Regulations,Waivers,Regulations test - key 27 questions,Operations,General operations
,Which of the following operations is explicitly excluded from Part 107 applicability?,B,Civil sUAS operations under 55 lbs,Model aircraft flown for recreation under Part 101,Public safety drone operations under Part 107,,,Regulations,Applicability,Regulations test - key 27 questions,Operations,General operations
,Which of the following statements about Visual Observers (VOs) is correct?,C,VOs are mandatory for all Part 107 operations,VOs must hold a Remote Pilot Certificate,VOs are optional but recommended depending on flight complexity,,,Regulations,Roles,Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
,Which of the following substances or conditions would disqualify a person from participating in sUAS operations under Part 107?,C,Blood alcohol concentration of 0.40%,Use of prescription glasses,Blood alcohol concentration of 0.04%,,,Regulations,"Operational Rules, impaired",Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
,Which of the following would be considered a careless or reckless operation under Part 107?,B,Flying with a VO in Class G airspace,Dropping objects from a UA without hazard mitigation,Flying below 100 feet AGL in rural areas,,,Regulations,Operational Rules,Regulations test - key 27 questions,Regulations,Part 107 regulations and compliance
,Which regulation governs the registration of small unmanned aircraft?,C,Part 91,Part 107,Part 47 or Part 48,,,Regulations,Operations,Regulations test - key 27 questions,Operations,General operations
,,,,,,,,,,,,
,2 Aiports end of section questions ,,,,,,,,,,,
,What is the primary purpose of the National Airspace System (NAS)?,B,To increase airline profits,To protect people and property,To reduce fuel consumption,,,Airports & airspace,Intro To Airports,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,What are the two main purposes of the Air Traffic Control (ATC) system?,B,Reduce fuel costs and increase speed,Prevent collisions and organize traffic,Promote tourism and reduce delays,,,Airports & airspace,Intro To Airports,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,What makes integrating sUAS into the NAS complex?,C,Lack of funding,Too few users,Many moving pieces and risks,,,Airports & airspace,Intro To Airports,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,Which method is universally used in aviation to locate points on Earth?,C,Street addresses,GPS only,Latitude and Longitude,,,Airports & airspace,L& L,Airports & airspace Slides 1-30 - key- chat,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
,Lines of latitude run,B,From North Pole to South Pole,Parallel to the equator,From East to West,,,Airports & airspace,L& L,Airports & airspace Slides 1-30 - key- chat,Operations,Airport operations and traffic patterns
,Lines of longitude start at,C,Equator,North Pole,Prime Meridian,,,Airports & airspace,L& L,Airports & airspace Slides 1-30 - key- chat,Operations,Airport operations and traffic patterns
,The continental U.S. lies between which degrees of latitude?,B,10° and 30°,25° and 49°,50° and 70°,,,Airports & airspace,L& L,Airports & airspace Slides 1-30 - key- chat,Operations,Airport operations and traffic patterns
,How many minutes are in each degree of latitude or longitude?,A,60,30,90,,,Airports & airspace,L& L,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,Which of the following is NOT an airport ownership classification?,C,Civil or Private,Military/government,Commercial,,,Airports & airspace,Intro To Airports,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,,,,,,,,,,,,
,What should sUAS operators be aware of when operating within 5 miles of an airport?,B,Weather only,"Ownership, aircraft type, and control specifics",Runway length,,,Airports & airspace,Airport Data,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,Which source contains the most comprehensive airport information?,C,NOTAMs,Aeronautical Charts,Chart Supplement U.S.,,,Airports & airspace,Airport Data,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,Which of the following is included in the Chart Supplement U.S.?,A,CTAF frequency,Airline schedules,Pilot salaries,,,Airports & airspace,Airport Data,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,What is the purpose of NOTAMs?,B,Provide weather updates,Share temporary aeronautical information,Publish flight schedules,,,Airports & airspace,Notam,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,Where can NOTAMs be found?,B,FAA mobile app only,Online websites like pilotweb.nas.faa.gov,Airport bulletin boards,,,Airports & airspace,Notam,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,What does ATIS provide?,C,Flight schedules,Pilot salaries,Weather and runway info,,,Airports & airspace,ATIS,Airports & airspace Slides 1-30 - key- chat,Regulations,Part 107 regulations and compliance
,How often is ATIS information updated?,C,Daily,Weekly,Hourly or as needed,,,Airports & airspace,ATIS,Airports & airspace Slides 1-30 - key- chat,Regulations,Part 107 regulations and compliance
,What are the two types of aeronautical charts relevant to sUAS operators?,B,Road and terrain charts,Sectional and terminal area charts,Weather and traffic charts,,,Airports & airspace,Sectional Charts,Airports & airspace Slides 1-30 - key- chat,Regulations,Part 107 regulations and compliance
,Convert 46.75° to degrees and minutes.,A,46° 45',46° 75',47°,,,Airports & airspace,L& L,Airports & airspace Slides 1-30 - key- chat,Regulations,Part 107 regulations and compliance
,Convert 98.2° to degrees and minutes.,A,98° 12',98° 20',98° 22',,,Airports & airspace,L& L,Airports & airspace Slides 1-30 - key- chat,Regulations,Part 107 regulations and compliance
,What is the primary purpose of aeronautical charts?,B,To display airline schedules,To plan and conduct flight operations,To show weather forecasts,,,Airports & airspace,Aeronautical Charts,Airports and Airspace questions slides 32-62 -key,Operations,General operations
,Which chart type covers the entire U.S. and is revised semi-annually?,B,Terminal Area Chart,Sectional Chart,IFR Enroute Chart,,,Airports & airspace,Sectional & Terminal Charts,Airports and Airspace questions slides 32-62 -key,Operations,General operations
,What is the scale of a sectional chart?,B,"1:250,000","1:500,000","1:1,000,000",,,Airports & airspace,Sectional & Terminal Charts,Airports and Airspace questions slides 32-62 -key,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
,Terminal Area Charts are designed to show more detail around which type of airports?,C,Private airports,Military airports,Busiest airports,,,Airports & airspace,Terminal Charts,Airports and Airspace questions slides 32-62 -key,Regulations,Part 107 regulations and compliance
,What is the scale of a Terminal Area Chart?,A,"1:250,000","1:500,000","1:750,000",,,Airports & airspace,Terminal Charts,Airports and Airspace questions slides 32-62 -key,Operations,General operations
,What should sUAS operators use to interpret chart symbols during planning?,B,FAA drone app,Chart User’s Guide,Airport directory,,,Airports & airspace,Aeronautical Charts,Airports and Airspace questions slides 32-62 -key,Weather and Weather Sources,TAF interpretation
,Which tab in the Chart User’s Guide includes airspace and airport information?,A,VFR Sectional & TAC,IFR Planning,Obstacle Clearance,,,Airports & airspace,Aeronautical Charts,Airports and Airspace questions slides 32-62 -key,Operations,Airport operations and traffic patterns
,What is the benefit of being familiar with chart symbols before the Part 107 test?,B,You can skip questions,The test will be easier,You won’t need the legend,,,Airports & airspace,Aeronautical Charts,Airports and Airspace questions slides 32-62 -key,Operations,Airport operations and traffic patterns
,What symbol on a sectional chart represents a VFR checkpoint?,B,A parachute icon,A small flag,A dashed circle,,,Airports & airspace,Chart Ledgend supplement & airport data,Airports and Airspace questions slides 32-62 -key,Operations,Airport operations and traffic patterns
,What is the purpose of the CTAF frequency listed on a chart?,B,To contact ATC for clearance,To monitor traffic at non-towered airports,To report weather conditions,,,Airports & airspace,Chart Ledgend supplement & airport data,Airports and Airspace questions slides 32-62 -key,Operations,General operations
,Why is runway elevation important for sUAS operators?,B,It determines the drone’s battery life,It affects the risk of collision with aircraft,It helps calculate wind speed,,,Airports & airspace,Chart Ledgend supplement & airport data,Airports and Airspace questions slides 32-62 -key,Operations,General operations
,What does the magenta color of an airport symbol indicate?,B,Military airport,No control tower,Temporary closure,,,Airports & airspace,Chart Ledgend supplement & airport data,Airports and Airspace questions slides 32-62 -key,Operations,General operations
,What does the blue color of an airport symbol indicate?,A,Controlled airport,Private airport,No control tower,,,Airports & airspace,Chart Ledgend supplement & airport data,Airports and Airspace questions slides 32-62 -key,Operations,General operations
,What does a communication box on a sectional chart provide?,B,Obstacle height,Radio frequencies,Runway length,,,Airports & airspace,Chart Ledgend supplement & airport data,Airports and Airspace questions slides 32-62 -key,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
,What does the number in parentheses below an obstacle height indicate?,B,Height above sea level,Height above ground level,Clearance altitude,,,Airports & airspace,Chart Ledgend supplement & airport data,Airports and Airspace questions slides 32-62 -key,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
,What is the typical size of a quadrant used for MEF calculations?,B,10’ x 10’,30’ x 30’,60’ x 60’,,,Airports & airspace,MEF,Airports and Airspace questions slides 32-62 -key,Operations,General operations
,What does an MEF value of 35 indicate?,A,"3,500 feet MSL",350 feet AGL,"3,500 feet AGL",,,Airports & airspace,MEF,Airports and Airspace questions slides 32-62 -key,Operations,General operations
,,,,,,,,,,,,
,No Unit Test Until Done all Airport Sections,,,,,,,,,,,
,SEE BELOW FOR TEST,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Towered airports have,B,No control tower,A control tower with controllers,No radio communication,,,Airports & airspace,towed Airports,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,,,,,,,,,,,,
,Latitude and Longitude End of section Questions,,,,,,,,,,,
,"Refer to figure Longitude and Latitude Points A - D, What are the coordinates of Point A?",A,N 39° 23' W 90° 53',N 39° 23' W 91° 7',N 40° 7' W 90° 53',,,Airports & airspace,L& L,Latitude & Longitude WS Extra Practice - Key,,
,"Refer to figure Longitude and Latitude Points A - D, What are the coordinates of Point B?",B,N 41° 50' W 85° 54',N 41° 50' W 86° 5',N 42° 10' W 86° 5',,,Airports & airspace,L& L,Latitude & Longitude WS Extra Practice - Key,,
,"Refer to figure Longitude and Latitude Points A - D, What are the coordinates of Point C?",C,N 31° 7' W 91° 15',N 31° 7' W 90° 31',N 31° 7' W 90° 45',,,Airports & airspace,L& L,Latitude & Longitude WS Extra Practice - Key,,
,"Refer to figure Longitude and Latitude Points A - D, What are the coordinates of Point D?",A,N 34° 35' W 87° 5',N 34° 35' W 86° 51',N 34° 49' W 87° 5',,,Airports & airspace,L& L,Latitude & Longitude WS Extra Practice - Key,,
,Convert N 49.4517 to degrees and minutes.,B,N 49° 45',N 49° 27',N 27° 49',,,Airports & airspace,L& L,Latitude & Longitude WS Extra Practice - Key,,
,Convert W 73.3398 to degrees and minutes.,C,W 73° 34',W 33° 20',W 73° 20',,,Airports & airspace,L& L,Latitude & Longitude WS Extra Practice - Key,,
,Convert N 44.5923 to degrees and minutes.,B,N 44° 59',N 44° 35',N 35° 44',,,Airports & airspace,L& L,Latitude & Longitude WS Extra Practice - Key,,
,Convert W 82.5976 to degrees and minutes.,A,W 82° 36',W 82° 59',W 36° 82',,,Airports & airspace,L& L,Latitude & Longitude WS Extra Practice - Key,,
,,,,,,,,,,,,
,Latitude and Longitude End of section Quiz,,,,,,,,,,,
