row,disposition,unit_ref,category,sub_category,note,question
516,imported,u7,Loading & Performance,loading and performance,,What is the primary advantage that manned aircraft pilots have over unmanned pilots when it comes to handling load factors?
517,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 158,What is the primary concern for an RPIC when loading a payload onto an aircraft?
518,imported,u7,Loading & Performance,loading and performance,,What is the primary concern for an RPIC when operating an aircraft near its maximum takeoff weight?
519,imported,u7,Loading & Performance,loading and performance,,Which of the following is not one of the four forces acting on an aircraft in straight and level flight?
520,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 205,Which of the following reduces air density and therefore reduces maximum takeoff weight?
521,skipped_marker,,,,,Load Factors and Performance End of Section Questions
522,imported,u7,Loading & Performance,loading and performance,,Load factor is measured in:
523,imported,u7,Loading & Performance,loading and performance,,What is the primary concern regarding operating an aircraft near its maximum takeoff weight?
524,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 159,What is the primary factor that determines the load factor experienced by an aircraft during a turn?
525,imported,u7,Loading & Performance,loading and performance,,What is the primary factor that determines the maximum load factor an aircraft can withstand?
526,imported,u7,Loading & Performance,loading and performance,,What is the relationship between an aircraft's weight and its ability to generate lift?
527,imported,u7,Loading & Performance,loading and performance,,What is the relationship between the center of gravity (CG) and the center of pressure (CP) in a traditionally designed multirotor aircraft?
528,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 160,What is the relationship between the load factor and the stalling speed of an aircraft?
529,imported,u7,Loading & Performance,loading and performance,,What is the relationship between the location of the center of gravity (CG) and the center of pressure (CP) on a fixed-wing aircraft?
530,imported,u7,Loading & Performance,loading and performance,,"When an aircraft enters a turn, the load factor results from a combination of gravity and what?"
531,skipped_duplicate,,Additional Topics,,first seen at row 206,Which two components are the primary considerations for aircraft balance?
532,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 203,Why is it unsafe to fly an unmanned aircraft at or near its maximum takeoff weight?
533,skipped_marker,,,,,No Loading and Performance Test its with ADM
535,skipped_marker,,,,,Emergency End of Section Questions
536,skipped_duplicate,,Operations,Emergency Procedures,first seen at row 62,"During a flight of your small UA, you observe a hot air balloon entering the area. You should"
537,imported,u8,Operations,Emergency Procedures,,"To avoid a possible collision with a manned airplane, you estimate that your small UA climbed to an altitude greater than 600 feet AGL. To w"
538,imported_inferred,u9,,,,What is the primary reason most aviation accidents occur?
539,imported_inferred,u8,,,,What is the primary responsibility of the Remote Pilot in Command (RPIC) during an in-flight emergency?
540,imported_inferred,u8,,,,What is the primary reason why the RPIC should document any emergency deviation from Part 107 regulations?
541,imported_inferred,u8,,,,What is the primary reason why you should remain calm during an emergency?
543,skipped_marker,,,,,No Emergency Test its with ADM
546,skipped_marker,,,,,Communications End of Section Questions
547,imported,u10,Operations,communications,,What is the primary function of a Flight Service Station (FSS) at an airport?
548,imported,u10,Operations,communications,,What is the recommended action for an unmanned aircraft operator flying within 5 miles of a non-towered airport?
549,imported,u10,Operations,communications,,What is the primary function of a MULTICOM frequency?
550,skipped_duplicate,,Operations,communications,first seen at row 215,What is the primary function of a UNICOM station at a non-towered airport?
551,imported,u10,Operations,communications,,What is the primary purpose of the CTAF?
552,imported,u10,Operations,communications,,What is the purpose of using the phonetic alphabet in aviation radio communication?
553,imported,u10,Operations,communications,,What is the recommended action when flying near a non-towered airport without UNICOM?
554,skipped_duplicate,,Operations,Radio Communications,first seen at row 75,Is it mandatory for sUAS operators to monitor CTAF at non-towered airports?
555,skipped_duplicate,,Operations,Radio Communications,first seen at row 552,What is the purpose of using the phonetic alphabet in aviation radio communication?
556,skipped_duplicate,,Operations,Radio Communications,first seen at row 215,What is the primary function of a UNICOM station at a non-towered airport?
557,skipped_duplicate,,Operations,Radio Communications,first seen at row 216,What is the primary purpose of the Common Traffic Advisory Frequency (CTAF) in aviation?
558,skipped_duplicate,,Operations,Radio Communications,first seen at row 218,What is the recommended action for an unmanned aircraft operator flying near a non-towered airport that does not have a UNICOM frequency?
559,skipped_duplicate,,Operations,Radio Communications,first seen at row 219,What is the primary reason why unmanned aircraft operators should be familiar with airport traffic patterns when monitoring radio traffic?
561,skipped_marker,,,,,No Communications Test its with ADM
563,skipped_marker,,,,,ADM End of section Questions
564,imported_inferred,u9,Additional Topics,,,You have been hired as a remote pilot by a local TV news station to film breaking news with a small UA. You expressed a safety concern and t
565,skipped_duplicate,,Additional Topics,,first seen at row 209,What does the IMSAFE checklist help an RPIC to assess before a flight?
566,skipped_duplicate,,Additional Topics,,first seen at row 210,What is the purpose of Crew Resource Management (CRM) in aeronautical decision-making?
567,skipped_duplicate,,Additional Topics,,first seen at row 211,What is the first step in dealing with hazardous attitudes?
568,imported_inferred,u9,Additional Topics,,,What is the purpose of the 'six-sigma' process mentioned in relation to risk management?
569,skipped_duplicate,,Additional Topics,,first seen at row 212,What does ADM provide to pilots as they handle different situations?
570,imported_inferred,u9,Additional Topics,,,What is 'Situational Awareness' and why is it important for a pilot?
571,skipped_duplicate,,Additional Topics,,first seen at row 213,"What does the acronym 'PAVE' stand for, and how does it relate to risk management?"
572,imported_inferred,u9,Additional Topics,,,What is the role of Standard Operating Procedures (SOP) in Crew Resource Management (CRM)?
573,imported_inferred,u9,Additional Topics,,,"What is the purpose of a risk management chart, and how should it be used by RPICs?"
574,skipped_duplicate,,Operations,Physiological factors,first seen at row 183,"You have been under persistent work-related stress for several months, which is starting to affect your focus during drone operations. What "
576,skipped_marker,,,,,"ADM, Emergency, Communications and Loading Test"
577,imported_inferred,u7,,,,Select the force that is not acting on an aircraft during straight and level flight.
578,imported_inferred,u7,,,,Air density has no effect on an aircraft’s ability to take off.
579,skipped_duplicate,,,,first seen at row 511,An aircraft can stall at any airspeed.
580,imported_inferred,u7,,,,"If an unmanned aircraft weighs 20 lbs, what approximate weight would the airplane structure be required to support during a 30-degree banked"
581,imported_inferred,u10,,,,Unmanned aircraft operators are expected to communicate with manned aircraft over the CTAF when they are operating near a non-towered airpor
582,imported_inferred,u10,,,,Which of the following is not part of the phonetic alphabet:
583,imported_inferred,u8,,,,An unmanned aircraft operator can deviate from any portion of Part 107 to respond to an emergency.
584,needs_review,,,,"answer=D, choices=3",An unmanned aircraft operator should do which of the following after they experience an inflight emergency?
585,imported_inferred,u9,,,,Which of the following is not used in the Aeronautical Decision-Making (ADM) process?
586,imported_inferred,u9,,,,You do not have to worry about dehydration when operating in a cold environment.
587,needs_review,,,,"answer=D, choices=3",Unmanned aircraft operators should base their maintenance and inspection procedures on:
588,imported_inferred,u9,,,,The antidote for the attitude macho is
589,imported_inferred,u9,,,,The antidote for the attitude resignation is
590,imported_inferred,u9,,,,The antidote for the attitude anti-authority is
591,imported_inferred,u9,,,,The antidote for the attitude invulnerability is
592,imported_inferred,u9,,,,The antidote for the attitude impulsivity is
593,skipped_duplicate,,Additional Topics,,first seen at row 209,What does the IMSAFE checklist help an RPIC to assess before a flight?
594,skipped_duplicate,,Additional Topics,,first seen at row 210,What is the purpose of Crew Resource Management (CRM) in aeronautical decision-making?
595,skipped_duplicate,,Operations,Physiological factors,first seen at row 183,"You have been under persistent work-related stress for several months, which is starting to affect your focus during drone operations. What "
596,skipped_duplicate,,,,first seen at row 540,What is the primary reason why the RPIC should document any emergency deviation from Part 107 regulations?
597,skipped_duplicate,,Operations,communications,first seen at row 548,What is the recommended action for an unmanned aircraft operator flying within 5 miles of a non-towered airport?
598,skipped_duplicate,,Operations,communications,first seen at row 549,What is the primary function of a MULTICOM frequency?
599,skipped_duplicate,,Operations,communications,first seen at row 215,What is the primary function of a UNICOM station at a non-towered airport?
600,skipped_duplicate,,Operations,communications,first seen at row 551,What is the primary purpose of the CTAF?
601,skipped_duplicate,,Operations,communications,first seen at row 553,What is the recommended action when flying near a non-towered airport without UNICOM?
602,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 157,What happens to the stalling speed of an aircraft as the load factor increases?
603,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 158,What is the primary concern for an RPIC when loading a payload onto an aircraft?
604,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 518,What is the primary concern for an RPIC when operating an aircraft near its maximum takeoff weight?
605,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 519,Which of the following is not one of the four forces acting on an aircraft in straight and level flight?
606,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 205,Which of the following reduces air density and therefore reduces maximum takeoff weight?
607,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 159,What is the primary factor that determines the load factor experienced by an aircraft during a turn?
608,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 160,What is the relationship between the load factor and the stalling speed of an aircraft?
